w/2pi   N         variant      Nunk       T_setup    T_apply    iters     
16      127^2     PML+sweep    21025      0.34       0.008      4         
16      127^2     PML+LU       21025      0.21       0.006      3         
16      127^2     Ying+LU      16129      0.20       0.007      4         
32      255^2     PML+sweep    74529      1.24       0.072      5         
32      255^2     PML+LU       74529      1.36       0.037      3         
32      255^2     Ying+LU      65025      1.27       0.043      4         
64      511^2     PML+sweep    279841     3.47       0.249      6         
64      511^2     PML+LU       279841     3.93       0.155      3         
64      511^2     Ying+LU      261121     4.91       0.188      4         
128     1023^2    PML+sweep    1083681    11.86      1.047      7         
128     1023^2    PML+LU       1083681    21.49      0.657      3         
